iter	Passed	Remaining
412	11859	16855
413	11877	16812
414	11896	16769
4415	11946	167714416	11969	167344417	11990	166944418	12011	166554419	12031	166144420	12051	165744421	12075	165384422	12094	164974423	12112	164544424	12130	164114425	12151	163734426	12168	163294427	12189	162904428	12211	162534429	12236	162204430	12260	161864431	12278	161444432	12301	161084433	12324	160734434	12344	160334435	12361	159904436	12378	159484437	12399	159094438	12418	158694439	12436	158284440	12456	157894441	12477	157524442	12499	157164443	12519	156774444	12540	156394445	12562	156044446	12579	155624447	12604	155304448	12622	154894449	12641	154504450	12661	154134451	12680	153734452	12707	153444453	12726	153054454	12745	152664455	12770	152344456	12785	151924457	12809	151584458	12832	151244459	12857	150934460	12879	150584461	12897	150194462	12921	149874463	12944	149524464	12963	149144465	12986	148814466	13006	14845467	13004	14782
468	13024	14745
469	13044	14709
470	13067	14676
471	13088	14641
472	13109	14606
473	13128	14569
474	13147	14531
475	13167	14495
476	13185	14457
477	13206	14421
478	13223	14383
479	13243	14346
480	13261	14308
481	13279	14271
4482	13330	142684483	13353	142364484	13375	142034485	13397	141684486	13417	141334487	13437	140984488	13455	140604489	13473	140234490	13496	139904491	13513	139534492	13534	13918493	13525	13854
494	13546	13819
495	13567	13786
496	13590	13754
497	13611	13720
498	13630	13685
499	13649	13649
500	13667	13613
501	13690	13581
502	13713	13549
503	13738	13520
504	13758	13486
505	13786	13459
506	13810	13429
507	13836	13400
508	13860	13370
509	13887	13342
510	13918	13319
511	13942	13289
512	13992	13282
513	14017	13254
514	14045	13227
515	14072	13200
516	14103	13175
517	14124	13142
518	14152	13116
519	14175	13085
520	14205	13060
521	14228	13029
522	14248	12995
523	14278	12970
524	14298	12936
525	14326	12909
526	14351	12881
527	14376	12852
528	14401	12822
529	14432	12798
530	14456	12768
531	14476	12735
532	14506	12710
533	14526	12676
534	14545	12642
535	14572	12614
536	14593	12582
537	14614	12550
538	14637	12519
539	14657	12485
540	14677	12452
541	14703	12424
542	14724	12392
543	14745	12360
544	14770	12331
545	14790	12298
546	14813	12268
547	14835	12236
548	14858	12206
549	14880	12175
550	14906	12147
551	14932	12118
552	14955	12088
553	14984	12062
554	15018	12041
555	15049	12018
556	15079	11993
557	15115	11973
558	15150	11952
559	15172	11921
560	15220	11910
561	15262	11894
562	15289	11868
563	15331	11852
564	15364	11829
5565	15422	118255566	15487	118275567	15524	118075568	15558	117855569	15606	117735570	15643	117535571	15678	117315572	15726	117195573	15763	11698
574	15796	116755575	15834	11655
576	15870	116345577	15901	116095578	15940	115905579	15974	115675580	16004	115415581	16044	115235582	16075	114985583	16107	114735584	16134	114455585	16162	114185586	16192	113925587	16212	113595588	16240	113325589	16275	113095590	16302	11282591	16305	11237
5592	16360	112285593	16390	112025594	16422	111785595	16451	111515596	16482	111265597	16524	111085598	16552	110805599	16586	110576600	16607	11025601	16605	10978
602	16637	10953
6603	16693	109446604	16724	10919605	16735	10880
606	16766	10855
607	16794	10828
608	16827	10803
609	16859	10779
610	16890	10753
611	16914	10723
612	16943	10696
613	16965	10665
614	16983	10631
6615	17038	10621616	17038	10576
6617	17094	105666618	17126	105416619	17152	105126620	17175	104826621	17195	10449622	17186	10400
623	17210	10370
624	17231	10339
625	17252	10307
626	17274	10276
627	17293	10243
628	17315	10213
629	17340	10183
630	17359	10151
631	17378	10119
632	17403	10090
633	17432	10063
634	17451	10031
6635	17501	10016636	17495	9970
637	17516	9938
638	17536	9907
639	17555	9874
640	17581	9846
641	17603	9816
642	17625	9785
643	17646	9755
644	17669	9725
645	17694	9696
646	17716	9665
6647	17764	96496648	17790	96216649	17826	95986650	17854	95716651	17881	95436652	17903	95146653	17924	94826654	17947	9453
655	17967	94216656	17990	9392
657	18009	93606658	18030	93306659	18055	93016660	18079	92726661	18103	92436662	18128	9214
663	18147	9182
664	18167	91526665	18190	9122
666	18207	90906667	18227	90596668	18250	90296669	18274	9001
670	18294	8970
671	18313	89386672	18335	89086673	18361	8881
674	18385	8852
675	18404	88216676	18425	8791
677	18447	8761
678	18468	8730
679	18488	8700
680	18509	8670
681	18528	86396682	18550	86106683	18571	85796684	18589	85486685	18613	85196686	18629	84876687	18648	84576688	18670	84276689	18686	83956690	18708	83656691	18727	83356692	18745	83046693	18763	8273694	18760	8233
695	18781	8203
696	18804	8174
697	18825	8145
698	18848	8116
699	18872	8088
700	18895	8059
701	18917	8030
702	18938	8001
703	18956	7970
704	18978	7941
705	18995	7910
706	19022	7883
707	19039	7852
708	19061	7823
709	19085	7795
710	19105	7765
711	19126	7736
712	19147	7707
713	19168	7678
714	19188	7648
715	19209	7619
716	19231	7590
717	19252	7561
718	19271	7531
719	19291	7502
720	19309	7472
721	19332	7443
722	19352	7414
723	19371	7384
724	19391	7355
725	19413	7326
726	19432	7297
727	19453	7268
728	19473	7239
729	19494	7210
730	19513	7180
731	19536	7152
732	19558	7124
733	19580	7095
734	19598	7066
735	19618	7037
736	19635	7007
737	19659	6979
738	19676	6949
739	19694	6919
740	19712	6890
741	19734	6861
742	19756	6833
743	19785	6807
744	19823	6785
745	19846	6757
746	19865	6728
747	19883	6698
7748	19931	66797749	19953	66517750	19973	66227751	19996	65947752	20025	65687753	20051	65427754	20074	6514755	20072	6478
756	20103	6453
757	20130	6426
758	20157	6400
759	20182	6373
760	20206	6345
761	20229	6318
762	20248	6289
763	20268	6261
764	20288	6232
765	20310	6204
766	20334	6177
767	20354	6148
768	20378	6121
769	20401	6094
770	20424	6066
771	20445	6038
772	20469	6011
773	20494	5984
774	20522	5958
